brightness,number22,acq_time,confidence,bright_t31,frp,type
315.5,313,513,65,295.6,5.3,0
328.4,314,1645,64,289.8,12.7,0
319.8,315,812,49,281.3,4.9,0
321.8,316,537,68,303,13.5,0
313.5,317,1710,61,291.5,6.3,0
319.2,318,841,49,301,7.4,0
341.2,319,1654,43,290.4,5.4,0
320,320,828,25,297.1,3.3,0
316.2,321,547,59,300.6,15.9,0
318.3,322,814,63,303.6,6.7,0
328.1,323,532,70,306.1,8.9,0
321.3,324,1704,49,284.8,7.1,0
324,325,517,35,299.9,10.3,0
315,326,1647,67,291.1,6.3,0
311,327,832,60,292.9,11.5,0
315.5,328,541,71,296.1,16.3,0
325.7,329,818,59,293.4,5.9,0
318.8,330,525,0,296.8,14.1,0
316.8,331,806,68,298.4,21.6,0
322.9,332,511,32,295.2,6.6,0
316.1,333,753,57,297.7,25.4,0
317.3,334,456,52,296.6,7.4,0
317.5,335,535,58,298.6,13.7,0
327,336,821,63,301.2,8.5,0
315.2,337,520,51,297.8,5.4,0
314.6,338,809,59,297.5,14.8,0
324.6,339,504,65,301.4,6.6,0
303.9,340,1635,28,279.3,13.1,0
327,341,839,47,290.3,11,0
318.6,342,528,61,300.7,6.1,0
324.5,343,826,68,300.4,5.7,0
315.1,344,513,77,288.6,18.9,0
320.2,345,814,71,294.6,20.4,0
318.1,346,1726,41,286.7,13.3,0
314.7,347,800,52,293.9,5.7,0
325.3,348,843,82,295.2,22.4,0
320.9,349,523,42,297.1,5.4,0
318.7,350,1652,71,293.1,6.6,0
310.9,351,508,47,284,3.8,0
313.6,352,1638,66,294.1,5.6,0
317.1,353,1720,63,288.4,13.7,0
313.9,354,803,56,298,11.1,0
310.9,355,846,66,303.5,10.7,0
312,356,517,54,298.9,5.9,0
321.2,357,832,71,307.9,9.8,0
320,358,502,66,298.9,7,0
314.1,359,1632,51,291,17,0
311.6,360,1713,51,292.3,5.5,0
317.4,361,807,54,300,14.5,0
313.1,362,848,61,296.9,13.1,0
312.2,363,510,59,300.1,5.3,0
309.4,364,835,64,305.4,4.9,0
311.8,365,454,62,297,5.7,0
322.4,,,,,,0
